,address,contact,join_date,name,premium
0,"Avenida de Pinto, 273 5623-338 Macedo de Cavaleiros","{'name': 'Jeremy Kennedy', 'phone_number': '986-826-5151-3436'}",2010-03-24,Action Against Hunger,False
1,al. Zachodnia 50/88 98-740 Żary,"{'name': 'Justin Thomas', 'phone_number': '1-791-825-6238-2713'}",2015-02-16,World Medical Relief,False
2,Eberhardtstr. 7/7 58439 Nürtingen,"{'name': 'Anna Miller', 'phone_number': '(687)228-7741'}",2017-09-10,UNICEF,True
3,"1816 Winters Village Lake Christian, MD 04198-7434","{'name': 'Alex Ross', 'phone_number': '(101)785-6502-58345'}",2013-12-02,Action Against Hunger,False
4,"37 Russell Extension St. Bryanborough, NT, 2619","{'name': 'Tara Williamson', 'phone_number': '907.665.7973-642'}",2011-10-12,Action Against Hunger,True
5,"98180 Kelly Road South Joseph, OK 88246","{'name': 'Robert Martin', 'phone_number': '1-193-881-8075'}",2012-10-25,Volunteer Service Abroad,False
6,Vollbrechtgasse 615 44589 Demmin,"{'name': 'Ryan Jimenez', 'phone_number': '230-862-9861'}",2016-02-20,A Better World,True
7,Flat 56H Charlene island Rhystown DY67 3XW,"{'name': 'Barbara Barr', 'phone_number': '718.510.1749'}",2012-03-20,Engineers Without Borders,False
8,Rädelstraße 300 55836 Garmisch-Partenkirchen,"{'name': 'Megan Lopez', 'phone_number': '1-901-017-6107'}",2011-01-02,Nursing Students Without Borders,True
9,Tlustekweg 8 16500 Neustrelitz,"{'name': 'Steven Rush', 'phone_number': '(024)694-7079-912'}",2016-10-21,Nursing Students Without Borders,False
